du	Tiek, kiek žmogus turi akių.	two	As many as a person has eyes.	Ant stalo stovi du puodukai.	On the table stand two cups.	num
trys	Du ir dar vienas.	three	Two and one more.	Šeimoje auga trys vaikai.	In the family grow three children.	num
keturi	Tiek, kiek kojų turi stalas.	four	As many as legs a table has.	Prie stalo stovi keturios kėdės.	By the table stand four chairs.	num
penki	Tiek, kiek pirštų ant vienos rankos.	five	As many as fingers on one hand.	Sesuo turi penkias knygas.	The sister has five books.	num
šeši	Tiek, kiek musė turi kojų.	six	As many as a fly has legs.	Ji pirko šešis obuolius.	She bought six apples.	num
septyni	Tiek, kiek dienų savaitėje.	seven	As many as days in a week.	Vaikas miega septynias valandas.	The child sleeps seven hours.	num
aštuoni	Du kartus po keturis.	eight	Two times four.	Jis dirba aštuonias valandas.	He works eight hours.	num
devyni	Tris kartus po tris.	nine	Three times three.	Klasėje sėdi devyni mokiniai.	In the class sit nine pupils.	num
dešimt	Tiek, kiek pirštų ant dviejų rankų.	ten	As many as fingers on two hands.	Mokykloje dirba dešimt mokytojų.	In the school work ten teachers.	num
šimtas	Dešimt kartų po dešimt.	hundred	Ten times ten.	Knygoje yra šimtas puslapių.	In the book there are a hundred pages.	num
tūkstantis	Dešimt kartų po šimtą.	thousand	Ten times a hundred.	Kaime gyvena tūkstantis žmonių.	In the village live a thousand people.	num
aš	Žodis apie save, kai kalbi.	I	A word about yourself when you speak.	Aš gyvenu Vilniuje.	I live in Vilnius.	pron
tu	Žodis apie žmogų, su kuriuo kalbi.	you	A word about the person with whom you speak.	Ar tu nori kavos?	Do you want coffee?	pron
jis	Žodis apie vyrą arba berniuką.	he	A word about a man or a boy.	Jis dirba ligoninėje.	He works in a hospital.	pron
ji	Žodis apie moterį arba mergaitę.	she	A word about a woman or a girl.	Ji dirba mokykloje.	She works in a school.	pron
mes	Žodis apie save ir kitą žmogų kartu.	we	A word about yourself and another person together.	Mes gyvename Kaune.	We live in Kaunas.	pron
jūs	Žodis apie žmones, su kuriais kalbi, arba mandagiai apie vieną.	you (plural)	A word about the people you are talking to, or politely about one.	Kur jūs gyvenate?	Where do you live?	pron
jie	Žodis apie du ar daugiau vyrų arba apie vyrus ir moteris.	they	A word about two or more men, or about men and women.	Jie važiuoja į Kauną.	They travel to Kaunas.	pron
svarbus	Toks, kuris daug reiškia žmogui.	important	One that means a lot to a person.	Rytoj turime svarbų susitikimą.	Tomorrow we have an important meeting.	adj
valdyti	Sakyti, ką žmonės turi daryti šalyje.	to rule	To say what people must do in the country.	Prezidentas valdo šalį.	The president rules the country.	verb
spręsti	Ilgai galvoti ir rasti, ką daryti su sunkiu klausimu.	to solve	To think for a long time and find what to do with a difficult question.	Mes sprendžiame sunkią problemą.	We are solving a difficult problem.	verb
saugoti	Žiūrėti, kad kas nors būtų sveikas ir gyvas.	to protect	To watch that someone is healthy and alive.	Tėvai saugo savo vaikus.	Parents protect their children.	verb
tvarkyti	Dėti daiktus į savo vietas namuose.	to tidy	To put things in their places at home.	Sesuo tvarko savo kambarį.	The sister tidies her room.	verb
kaltas	Toks, kuris padarė blogą dalyką.	guilty	One who did a bad thing.	Berniukas jaučiasi kaltas dėl klaidos.	The boy feels guilty for the mistake.	adj
paskutinis	Toks, kuris yra pačioje pabaigoje.	last	One that is at the very end.	Tai paskutinis autobusas šiandien.	This is the last bus today.	adj
palikti	Padėti daiktą ir eiti be jo.	to leave	To put a thing down and go without it.	Jis paliko raktus namuose.	He left the keys at home.	verb
panašus	Toks, kuris atrodo kaip kitas daiktas.	similar	One that looks like another thing.	Sūnus labai panašus į tėvą.	The son is very similar to the father.	adj
kartas	Žodis, kuris sako, kaip dažnai kas nors vyksta.	time	A word which says how often something happens.	Vaistus geriu du kartus per dieną.	The medicine I drink two times per day.	noun
ateiti	Kai žmogus atvyksta ten, kur jo laukia.	to come	When a person arrives at the place where they are waiting for him.	Draugas ateina į svečius.	The friend comes for a visit.	verb
alus	Geltonas, šaltas ir su alkoholiu; jį geria bare.	beer	Yellow, cold and with alcohol; it is drunk in a bar.	Vyras geria šaltą alų.	The man drinks cold beer.	noun
vynas	Raudonas arba baltas, su alkoholiu; jį geria prie vakarienės.	wine	Red or white, with alcohol; it is drunk at dinner.	Prie žuvies geriame baltą vyną.	With fish we drink white wine.	noun
daržovė	Augalas, kurį valgome; agurkas ar kopūstas.	vegetable	A plant that we eat; a cucumber or a cabbage.	Ant stalo yra šviežių daržovių.	On the table are fresh vegetables.	noun
bulvė	Daržovė, kuri auga žemėje; ją verda ir kepa.	potato	A vegetable that grows in the ground; it is boiled and fried.	Mama verda bulves su druska.	Mother boils potatoes with salt.	noun
sūrus	Toks, kuriame yra daug druskos.	salty	One in which there is much salt.	Sriuba šiandien per sūri.	The soup today is too salty.	adj
skystas	Toks, kuris teka kaip vanduo; ne kietas.	liquid	One that flows like water; not hard.	Ši košė yra per skysta.	This porridge is too runny.	adj
bausmė	Tai, ką gauna žmogus už blogą darbą; pavyzdžiui, kalėjimas.	punishment	What a person gets for a bad deed; for example, prison.	Vagis gavo didelę bausmę.	The thief got a big punishment.	noun
meistras	Žmogus, kurį kviečiame, kai namuose neveikia dušas ar šaldytuvas.	repairman	A person whom we call when at home the shower or the fridge does not work.	Į namus atėjo meistras.	To the house came the repairman.	noun
remontas	Kai bute dažo sienas ir keičia langus.	renovation	When in the flat they paint the walls and change the windows.	Bute vyksta didelis remontas.	In the flat there is a big renovation.	noun
grybas	Jis auga miške po medžiais; jį renka ir valgo.	mushroom	It grows in the forest under trees; it is gathered and eaten.	Miške radome didelį grybą.	In the forest we found a big mushroom.	noun
valstybė	Šalis su vyriausybe, įstatymais ir vėliava.	state	A country with a government, laws and a flag.	Lietuva yra maža valstybė.	Lithuania is a small state.	noun
balsas	Tai girdime, kai žmogus kalba ar dainuoja.	voice	This we hear when a person speaks or sings.	Ji dainuoja gražiu balsu.	She sings in a beautiful voice.	noun
kaulas	Kieta balta kūno dalis; ją galima susilaužyti.	bone	A hard white part of the body; it can be broken.	Vaikas susilaužė kojos kaulą.	The child broke the leg bone.	noun
dūmai	Tai matome ore, kai kas nors dega.	smoke	This we see in the air when something burns.	Iš kamino eina dūmai.	From the chimney goes smoke.	noun
gyventojas	Žmogus, kuris nuolat yra mieste ar kaime — ten jo namai.	resident	A person who is permanently in a city or a village — his home is there.	Miesto gyventojai važiuoja autobusais.	City residents travel by buses.	noun
sostinė	Miestas, kuriame dirba vyriausybė ir prezidentas.	capital city	The city where the government and the president work.	Vilnius yra Lietuvos sostinė.	Vilnius is Lithuania's capital city.	noun
vėl	Dar kartą, kaip ir anksčiau.	again	One more time, as before.	Jis vėl skambina mamai.	He again calls mother.	adv
galima	Kai tėvai, gydytojas ar viršininkas leidžia tai daryti.	it is allowed	When parents, a doctor or the boss allow to do it.	Čia galima rūkyti.	Here it is allowed to smoke.	adv
