vardas	Žodis, kuriuo vadiname žmogų: Jonas, Rūta.	name	A word by which we call a person: Jonas, Rūta.	Mano vardas yra Tomas.	My name is Tomas.		01-asmens-tapatybe
pavardė	Šeimos vardas, kurį turi tėvai ir vaikai.	surname	A family name that the parents and children have.	Jos pavardė yra Kazlauskienė.	Her surname is Kazlauskienė.		01-asmens-tapatybe
ponas	Mandagus žodis apie vyrą.	Mr; sir	A polite word for a man.	Ponas Petraitis dirba banke.	Mr Petraitis works in a bank.	noun	01-asmens-tapatybe
rašyti	Dėti žodžius ant popieriaus ranka ar kompiuteriu.	to write	To put words on paper by hand or by computer.	Sesuo rašo laišką draugei.	The sister writes a letter to a friend.		01-asmens-tapatybe
pasas	Dokumentas su nuotrauka kelionei į kitas šalis.	passport	A document with a photograph for travel to other countries.	Mano pasas yra krepšyje.	My passport is in the bag.	noun	01-asmens-tapatybe
gyventi	Turėti savo namus kokioje nors vietoje.	to live	To have your home in some place.	Mes gyvename Vilniuje.	We live in Vilnius.		01-asmens-tapatybe
adresas	Gatvė, namo numeris ir miestas, kur gyvenate.	address	The street, house number and city where you live.	Koks jūsų adresas?	What is your address?		01-asmens-tapatybe
gatvė	Kelias mieste tarp namų.	street	A road in a city between houses.	Mūsų gatvė yra ilga.	Our street is long.		01-asmens-tapatybe
prospektas	Didelė ir plati gatvė mieste.	avenue	A big and wide street in a city.	Gedimino prospektas yra Vilniuje.	Gediminas Avenue is in Vilnius.	noun	01-asmens-tapatybe
numeris	Skaičius ant namo, buto ar telefono.	number	A number on a house, a flat or a telephone.	Koks tavo telefono numeris?	What is your telephone number?	noun	01-asmens-tapatybe
miestas	Didelė vieta, kur gyvena daug žmonių.	city	A big place where many people live.	Vilnius yra didelis miestas.	Vilnius is a big city.		01-asmens-tapatybe
kaimas	Maža vieta, kur žmonės gyvena prie laukų.	village	A small place where people live near fields.	Vasarą važiuojame į kaimą.	In summer we go to the village.		01-asmens-tapatybe
telefonas	Aparatas, kuriuo skambiname ir kalbame.	telephone	A device with which we call and talk.	Mano telefonas neveikia.	My telephone does not work.		01-asmens-tapatybe
skambinti	Kalbėti su žmogumi telefonu.	to phone	To talk with a person by telephone.	Vakare skambinu mamai.	In the evening I phone mom.		01-asmens-tapatybe
gimti	Ateiti į gyvenimą, pradėti gyventi.	to be born	To come into life, to begin to live.	Aš gimiau Kaune.	I was born in Kaunas.		01-asmens-tapatybe
gimtadienis	Diena kartą per metus, kai gauname dovanų ir valgome tortą.	birthday	A day once a year when we get presents and eat cake.	Rytoj yra mano gimtadienis.	Tomorrow is my birthday.	noun	01-asmens-tapatybe
žmogus	Vyras, moteris ar vaikas.	person; human	A person — a man, a woman or a child.	Jis yra geras žmogus.	He is a good person.	noun	01-asmens-tapatybe
vyras	Suaugęs žmogus – ne moteris.	man	An adult human — not a woman.	Tas vyras yra mano brolis.	That man is my brother.		01-asmens-tapatybe
moteris	Suaugęs žmogus – ne vyras.	woman	An adult human — not a man.	Ta moteris dirba mokykloje.	That woman works in a school.		01-asmens-tapatybe
vaikinas	Jaunas vyras.	young man; guy	A young man.	Tas vaikinas mokosi universitete.	That young man studies at a university.	noun	01-asmens-tapatybe
mergina	Jauna moteris.	young woman	A young woman.	Ta mergina dainuoja gražiai.	That young woman sings beautifully.	noun	01-asmens-tapatybe
berniukas	Mažas vaikas – ne mergaitė.	boy	A small child — not a girl.	Berniukas žaidžia kieme.	The boy plays in the yard.		01-asmens-tapatybe
mergaitė	Mažas vaikas – ne berniukas.	girl	A small child — not a boy.	Mergaitė skaito knygą.	The girl reads a book.		01-asmens-tapatybe
lietuvis	Žmogus iš Lietuvos.	Lithuanian	A person from Lithuania.	Mano draugas yra lietuvis.	My friend is a Lithuanian.		01-asmens-tapatybe
darbas	Veikla, už kurią gauname pinigus.	work	Activity for which we get money.	Man patinka mano darbas.	I like my work.		01-asmens-tapatybe
profesija	Darbas, kurio žmogus mokosi ilgai.	profession	Work that a person learns for a long time.	Gydytojo profesija yra sunki.	A doctor's profession is hard.		01-asmens-tapatybe
bankas	Vieta, kur laikome ir keičiame pinigus.	bank	A place where we keep and change money.	Ryte einu į banką.	In the morning I go to the bank.		01-asmens-tapatybe
gamykla	Didelė vieta, kur mašinos daro automobilius ir jų dalis.	factory	A big place where machines make cars and their parts.	Tėvas dirba gamykloje.	Father works in a factory.	noun	01-asmens-tapatybe
ligoninė	Didelis namas, kur gydytojai gydo žmones.	hospital	A big house where doctors treat people.	Brolis dirba ligoninėje.	The brother works in a hospital.		01-asmens-tapatybe
mokykla	Vieta, kur vaikai mokosi.	school	A place where children learn.	Vaikai eina į mokyklą.	The children go to school.		01-asmens-tapatybe
parduotuvė	Vieta, kur perkame maistą ir daiktus.	shop	A place where we buy food and things.	Nauja parduotuvė yra centre.	The new shop is in the centre.		01-asmens-tapatybe
ūkis	Vieta kaime su augalais ir gyvūnais.	farm	A place in the village with plants and animals.	Jų ūkis yra prie miško.	Their farm is by the forest.		01-asmens-tapatybe
mokyti	Padėti kitam išmokti.	to teach	To help another to learn.	Ji moko vaikus mokykloje.	She teaches children at school.		01-asmens-tapatybe
gydyti	Padėti ligoniui sveikti.	to treat	To help a sick person get well.	Gydytojas gydo pacientus.	The doctor treats patients.		01-asmens-tapatybe
parduoti	Duoti daiktą už pinigus.	to sell	To give a thing for money.	Jie parduoda savo mašiną.	They sell their car.		01-asmens-tapatybe
vairuoti	Sėdėti prie vairo ir valdyti automobilį ar autobusą.	to drive	To sit at the steering wheel and control a car or a bus.	Tėvas vairuoja autobusą.	Father drives a bus.	verb	01-asmens-tapatybe
dirbti	Daryti darbą už pinigus.	to work	To do work for money.	Aš dirbu banke.	I work in a bank.		01-asmens-tapatybe
viršininkas	Žmogus darbe, kuris sako darbuotojams, ką daryti.	boss	A person at work who tells the employees what to do.	Mūsų viršininkas yra geras.	Our boss is good.	noun	01-asmens-tapatybe
