ponia	noun	ponià / poniõs	ponia ponios poniai ponią ponioje ponioms ponias poniomis poniose ponių
panelė	noun	panẽlė / panẽlės	panelė panelės panelei panelę panele panelėje panelėms paneles panelėmis panelėse panelių
pasirašyti	verb	pasirašýti, pasirãšo, pasirãšė	pasirašyti pasirašau pasirašai pasirašo pasirašome pasirašote pasirašiau pasirašei pasirašė pasirašėme pasirašėte pasirašysiu pasirašysi pasirašys pasirašysime pasirašysite pasirašyk pasirašykite
parašas	noun	pãrašas / parašaĩ	parašas parašo parašui parašą parašu paraše parašai parašų parašams parašus parašais parašuose
tautybė	noun	tautýbė / tautýbės	tautybė tautybės tautybei tautybę tautybe tautybėje tautybėms tautybes tautybėmis tautybėse tautybių
darbštus	adj	darbštùs / darbštì	darbštus darbšti darbštaus darbščios darbštų darbščią darbštūs darbščių darbštiems darbščioms darbščius darbščias darbščiais darbščiomis darbščiuose darbščiose
prieškambaris	noun	príeškambaris / príeškambariai	prieškambaris prieškambario prieškambariui prieškambarį prieškambariu prieškambaryje prieškambariai prieškambarių prieškambariams prieškambarius prieškambariais prieškambariuose
plaukai	noun	pláukas / plaukaĩ	plaukai plaukų plaukams plaukus plaukais plaukuose plaukas plauko plaukui plauką plauku plauke
baldai	noun	bal̃das / bal̃dai	baldai baldų baldams baldus baldais balduose baldas baldo baldui baldą baldu balde
lentyna	noun	lentýna / lentýnos	lentyna lentynos lentynai lentyną lentynoje lentynoms lentynas lentynomis lentynose lentynų
pagalvė	noun	pagálvė / pagálvės	pagalvė pagalvės pagalvei pagalvę pagalve pagalvėje pagalvėms pagalves pagalvėmis pagalvėse pagalvių
paklodė	noun	paklõdė / paklõdės	paklodė paklodės paklodei paklodę paklode paklodėje paklodėms paklodes paklodėmis paklodėse paklodžių
čiužinys	noun	čiužinỹs / čiužiniaĩ	čiužinys čiužinio čiužiniui čiužinį čiužiniu čiužinyje čiužiniai čiužinių čiužiniams čiužinius čiužiniais čiužiniuose
dujos	noun	dùjos (tik dgs.)	dujos dujų dujoms dujas dujomis dujose
šildymas	noun	šìldymas / šìldymai	šildymas šildymo šildymui šildymą šildymu šildyme šildymai šildymų
židinys	noun	židinỹs / židiniaĩ	židinys židinio židiniui židinį židiniu židinyje židiniai židinių židiniams židinius židiniais židiniuose
skalbyklė	noun	skalbỹklė / skalbỹklės	skalbyklė skalbyklės skalbyklei skalbyklę skalbykle skalbyklėje skalbyklėms skalbykles skalbyklėmis skalbyklėse skalbyklių
džiovyklė	noun	džiovỹklė / džiovỹklės	džiovyklė džiovyklės džiovyklei džiovyklę džiovykle džiovyklėje džiovyklėms džiovykles džiovyklėmis džiovyklėse džiovyklių
indaplovė	noun	indãplovė / indãplovės	indaplovė indaplovės indaplovei indaplovę indaplove indaplovėje indaplovėms indaploves indaplovėmis indaplovėse indaplovių
termometras	noun	termomètras / termomètrai	termometras termometro termometrui termometrą termometru termometre termometrai termometrų termometrams termometrus termometrais termometruose
pabusti	verb	pabùsti, pabuñda, pabùdo	pabusti pabundu pabundi pabunda pabundame pabundate pabudau pabudai pabudo pabudome pabudote pabusiu pabusi pabus pabusime pabusite pabusk pabuskite
praustis	verb	praũstis, praũsiasi, praũsėsi	praustis prausiuosi prausiesi prausiasi prausiamės prausiatės prausiausi prauseisi prausėsi prausėmės prausėtės prausiuosi prausiesi prausis prausimės prausitės prauskis prauskitės
